Title,Kaltmiete zzgl. Nebenkosten (€/month),Warmmiete (€/month),Nebenkosten (€/month),Heizkosten_1 (€/month),Heizkosten_2 (€/month),Miete pro Stellplatz (€/month),Rooms_number,Surface Area (m^2),Floor,Zip Code,pics_number,energy_efficiency,Year of Construction,Condition,Price per sqm,Real Estate 3,Bezirk,Multiple floors,Deposit,lim_inhabitants,balcony,furnished,garden,Terrasse,pets_allowed,Garage,shower,bath,Einbaukueche,kitchenette,lift,open kitchen,basement,window in bathroom,WG-geeignet,Wohnen auf Zeit in title,nur mit Wohnberechtigungsschein in title,availability_date,days_until_available,Heating_Elektro,Heating_Fernwaerme,Heating_Gas,Heating_Oel,Heating_Luft-/Wasser-Waermepumpe,Heating_Blockheizkraftwerk,Heating_Solar,Heating_Erdwaerme,Heatingsys_Zentralheizung,Heatingsys_Fussbodenheizung,Heatingsys_Etagenheizung,time_lim (in months),accessible,Floor_cov_Parkett,Floor_cov_Fliesen,Floor_cov_Laminat,Floor_cov_Holzdielen,Floor_cov_Kunststoff,Floor_cov_Linoleum,Floor_cov_Stein,district_name
Wohnung zur Miete,1080.0,1276.0,98.0,,98.0,,3.0,72.0,2.0,10551,9.0,7.0,Altbau,,15.0,Privater Anbieter,Mitte,False,2356.0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,2025-02-12,0.0,False,False,False,False,False,False,False,False,False,False,True,,False,True,True,False,True,False,False,False,Moabit
Studio zur Miete,1435.0,1720.0,285.0,in Nebenkosten enthalten,,,2.0,50.0,3.0,10965,23.0,,,neuwertig,28.7,Ukio Germany,Friedrichshain-Kreuzberg,False,2000.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2025-02-12,0.0,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Prenzlauer Berg
Studio zur Miete,625.0,780.0,160.0,in Nebenkosten enthalten,,120.0,1.0,20.0,5.0,13355,4.0,2.0,Neubau,,30.49,other,Mitte,False,1875.0,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,2025-05-01,78.0,False,True,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Gesundbrunnen
Penthouse zur Miete,1401.48,1744.46,208.36,,134.0,100.0,2.0,77.0,6.0,10715,41.0,5.0,Neubau,,22.41,other,Charlottenburg-Wilmersdorf,False,2802.96,False,False,False,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,,,False,False,True,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Wilmersdorf
Wohnung zur Miete,2060.0,2390.0,325.0,in Nebenkosten enthalten,,,2.0,54.0,5.0,10179,24.0,,Neubau,,38.15,Ukio Germany,Friedrichshain-Kreuzberg,False,2000.0,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,2025-02-12,0.0,False,True,False,False,True,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,Mitte
Studio zur Miete,2190.0,2904.0,714.0,in Nebenkosten enthalten,,,4.0,150.0,1.0,10997,26.0,,,neuwertig,14.6,Ukio Germany,Friedrichshain-Kreuzberg,False,2000.0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2025-02-12,0.0,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Kreuzberg
Wohnung zur Miete,2303.0,2921.0,619.0,in Nebenkosten enthalten,,192.0,3.0,132.0,7.0,10785,14.0,7.0,Neubau,neuwertig,17.33,wohnReich Projektentwicklung GmbH,Friedrichshain-Kreuzberg,False,6909.0,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,2025-02-12,0.0,False,True,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Tiergarten
Wohnung zur Miete,1300.0,1800.0,,in Nebenkosten enthalten,,,3.0,81.0,0.0,13505,7.0,,Altbau,,16.05,Privater Anbieter,Reinickendorf,False,1300.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Konradshöhe
Wohnung zur Miete,,1730.0,,,,,1.0,48.0,2.0,10245,12.0,,,,36.04166666666666,HOMELIKE INTERNET GmbH,Friedrichshain-Kreuzberg,False,1617.0,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,2025-05-02,79.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Friedrichshain
Studio zur Miete,2500.0,2995.0,495.0,in Nebenkosten enthalten,,,3.0,60.0,6.0,10783,22.0,,,neuwertig,41.67,Ukio Germany,Tempelhof-Schöneberg,False,2000.0,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,2025-02-12,0.0,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Schöneberg
