Title,Kaltmiete zzgl. Nebenkosten,Warmmiete,Nebenkosten,Heizkosten_1,Heizkosten_2,Miete pro Stellplatz,Rooms_number,Surface Area,Floor,availability,Zip Code,Additional Price Info,pics_number,energy_efficiency,Year of Construction,Condition,Heating type,Heating system,Price per sqm,Caution 1,Caution 2,Merkmale_1,Merkmale_2,Merkmale_3,Merkmale_4,Merkmale_5,Merkmale_6,Merkmale_7,Merkmale_8
Wohnung zur Miete · Wohnen auf Zeit,,1.140 €/Monat,,,,,3,10 m²,,17.02.2025,10719,,1 / 25,,,,,,,"1.000,00",,"Einbauküche, Kochnische",frei ab 17.02.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Maisonette zur Miete,,"9.658,03 €",1.583 €,in Warmmiete enthalten,,,4,"218,2 m²",,Baujahr,14195,"Nettokaltmiete: 8.073,03 EUR",1 / 9,,2024.0,"Neubau, Erstbezug",Luft-/Wasser-Wärmepumpe,Zentralheizung,37 Euro pro Quadratmeter,"24.219,09",,Einbauküche,Personenaufzug,sofort,Garten,Terrasse,Kelleranteil,,
Studio zur Miete,2.095 €,2.700 €,605 €,in Nebenkosten enthalten,,,3,85 m²,6.,Zustand der Immobilie,10245,,1 / 28,,,renoviert / saniert,Elektro,Zentralheizung,"24,65 Euro pro Quadratmeter",,2.000 €,Einbauküche,Personenaufzug,sofort,Balkon,Gartenmitbenutzung,Haustiere erlaubt,möbliert,6. Geschoss
Studio zur Miete,,,130 €,,"97.5 €97,50 €",,2,65 m²,,ab sofort,13127,,1 / 15,,1998.0,,,,"18,72 Euro pro Quadratmeter",,"3.650,94 €",Einbauküche,Frei ab sofort,Balkon,,,,,
Wohnung zur Miete · Wohnen auf Zeit,,1.990 €/Monat,,,,,2,35 m²,,01.05.2025,10405,,1 / 12,,,,,,,"2.000,00",,"Einbauküche, Kochnische",frei ab 01.05.2025,Haustiere erlaubt,möbliert,4. Geschoss,Bad mit Dusche,max. 2 Personen,
Wohnung zur Miete,,"1.859,75 €",150 €,,100 €100 €,,2,"64,4 m²",EG,Baujahr,10585,"Nettokaltmiete: 1.609,75 EUR",1 / 18,A,2021.0,neuwertig,Fernwärme,Fußbodenheizung,25 Euro pro Quadratmeter,3-Nettokaltmieten,,Einbauküche,Personenaufzug,sofort,Balkon,Kelleranteil,Erdgeschoss,"Barrierefrei, Rollstuhlgerecht",
Wohnung zur Miete,,"781,45 €",70 €,,60 €60 €,,2,"55,4 m²",1.,01.03.2025,12559,,1 / 8,D,1997.0,Gepflegt,Fernwärme,,"11,76 Euro pro Quadratmeter",3 mal Netto Miete (kalt),,frei ab 01.03.2025,1. Geschoss,"Badezimmer: Badewanne, Bad mit Fenster",,,,,
Wohnung zur Miete,,1.785 €,129 €,,72 €72 €,,2,"64,4 m²",EG,Baujahr,10719,"Nettokaltmiete: 1.584,00 EUR",1 / 12,,2023.0,neuwertig,Fernwärme,Fußbodenheizung,"24,58 Euro pro Quadratmeter",3-Nettokaltmieten,,Einbauküche,Personenaufzug,sofort,Balkon,Erdgeschoss,Barrierefrei,Bad mit Dusche,
Wohnung zur Miete,,"1.020,68 €",143 €,,"48.76 €48,76 €",,2,"48,8 m²",8.,ab sofort,10319,"Nettokaltmiete: 828,92 EUR",1 / 8,A,2020.0,,"Fernwärme, Blockheizkraftwerk",,17 Euro pro Quadratmeter,"2486,76  €",,Personenaufzug,Frei ab sofort,Balkon,Haustiere erlaubt,8. Geschoss,,,
Wohnung zur Miete · Wohnen auf Zeit,,1.590 €/Monat,,,,,1,29 m²,,30.04.2025,10119,,1 / 8,,,,,,,"1.590,00",,"Einbauküche, Offene Küche",frei ab 30.04.2025,möbliert,4. Geschoss,Bad mit Dusche,max. 2 Personen,,
