Title,Kaltmiete zzgl. Nebenkosten,Warmmiete,Nebenkosten,Heizkosten_1,Heizkosten_2,Miete pro Stellplatz,Rooms_number,Surface Area,Floor,availability,Zip Code,Additional Price Info,pics_number,energy_efficiency,Year of Construction,Condition,Heating type,Heating system,Price per sqm,Caution 1,Caution 2,Merkmale_1,Merkmale_2,Merkmale_3,Merkmale_4,Merkmale_5,Merkmale_6,Merkmale_7,Merkmale_8
Wohnung zur Miete · Wohnen auf Zeit,,1.260 €/Monat,,,,,1,"20,7 m²",,13.02.2025,10317,,1 / 2,,,,,,,"1.890,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,4. Geschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,1.260 €/Monat,,,,,1,"20,7 m²",,13.02.2025,10317,,1 / 2,,,,,,,"1.890,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,4. Geschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,999 €/Monat,,,,,1,15 m²,,01.03.2025,10247,,1 / 12,,,,,,,keine Angabe,,"Einbauküche, Kochnische",frei ab 01.03.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,1.240 €/Monat,,,,,1,"25,7 m²",,13.02.2025,10317,,1 / 2,,,,,,,"1.860,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,6. Geschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete,,"1.025,60 €",157 €,,72 €72 €,,2,"48,1 m²",,ab sofort,10315,,1 / 8,,1930,,,Zentralheizung,16 Euro pro Quadratmeter,keine Angabe,,frei ab 01.07.2024 bis 31.12.9999,Bad mit Fenster,,,,,,
Wohnung zur Miete,,,,,,,2,40 m²,,Baujahr,10318,,1 / 4,,2025,"Neubau, Erstbezug",,Fußbodenheizung,"11,50 Euro pro Quadratmeter",52.000,,Personenaufzug,2027,Balkon,Gartenmitbenutzung,Haustiere erlaubt,Barrierefrei,Bad mit Dusche,Waschraum
Wohnung zur Miete · Wohnen auf Zeit,,995 €/Monat,,,,,11,"18,8 m²",,13.02.2025,10115,,1 / 16,,,,,,,"1.492,50",,"Einbauküche, Kochnische",frei ab 13.02.2025,Balkon,möbliert,Erdgeschoss,Bad mit Dusche,WG-geeignet,max. 1 Person
Wohnung zur Miete · Wohnen auf Zeit,,1.170 €/Monat,,,,,1,"20,7 m²",,13.02.2025,10317,,1 / 2,,,,,,,"1.755,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,5. Geschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,1.115 €/Monat,,,,,3,10 m²,,17.02.2025,10719,,1 / 26,,,,,,,"1.000,00",,"Einbauküche, Kochnische",frei ab 17.02.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,758 €/Monat,,,,,4,"13,2 m²",,13.02.2025,12049,,1 / 17,,,,,,,"1.137,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete,,,,,,,4,85 m²,,Baujahr,10318,,1 / 4,,2025,"Neubau, Erstbezug",,Fußbodenheizung,"11,50 Euro pro Quadratmeter",68.000,,Personenaufzug,2027,Gartenmitbenutzung,Haustiere erlaubt,Barrierefrei,Bad mit Dusche,Waschraum,
Wohnung zur Miete · Wohnen auf Zeit,,900 €/Monat,,,,,3,"15,3 m²",,13.02.2025,10553,,1 / 6,,,,,,,"1.350,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,Erdgeschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,670 €/Monat,,,,,1,11 m²,,16.02.2025,13407,,1 / 13,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 16.02.2025,möbliert,3. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete,,,"124,46 €",,"77.79 €77,79 €",,2,"51,9 m²",EG,ab sofort,12619,,1 / 10,B,2020,,Fernwärme,Fußbodenheizung,"18,93 Euro pro Quadratmeter","2.945,76",,Frei ab sofort,Balkon,Kelleranteil,Erdgeschoss,Barrierefrei,Bad mit Dusche,,
Wohnung zur Miete · Wohnen auf Zeit,,807 €/Monat,,,,,3,"13,5 m²",,04.03.2025,10245,,1 / 2,,,,,,,"1.210,50",,"Einbauküche, Kochnische",frei ab 04.03.2025,Balkon,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person
Wohnung zur Miete · Wohnen auf Zeit,,675 €/Monat,,,,,1,9 m²,,13.02.2025,10439,,1 / 16,,,,,,,,900 €,"Einbauküche, Offene Küche",frei ab 13.02.2025,möbliert,4. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Penthouse zur Miete,1.930 €,2.300 €,,,370 €370 €,,2,75 m²,6.,Baujahr,10245,,1 / 16,,2019,"Neubau, neuwertig",,Fußbodenheizung,"25,73 Euro pro Quadratmeter",,6.000 €,"Einbauküche, Offene Küche",Personenaufzug,Balkon,"Garten, Gartenmitbenutzung",Terrasse,Fernblick,Tiefgarage,möbliert
Wohnung zur Miete · Wohnen auf Zeit,,690 €/Monat,,,,,1,12 m²,,01.04.2025,13409,,1 / 13,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.04.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,1.215 €/Monat,,,,,1,"20,7 m²",,13.02.2025,10317,,1 / 2,,,,,,,"1.822,50",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,6. Geschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,710 €/Monat,,,,,1,10 m²,,01.05.2025,12051,,1 / 12,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.05.2025,möbliert,3. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,680 €/Monat,,,,,1,11 m²,,01.03.2025,10318,,1 / 13,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.03.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,730 €/Monat,,,,,1,10 m²,,01.03.2025,10585,,1 / 11,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.03.2025,möbliert,3. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,729 €/Monat,,,,,4,10 m²,,13.02.2025,10115,,1 / 10,,,,,,,"1.093,50",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete,1.035 €,1.325 €,170 €,,120 €120 €,99 €99 €,2,"79,6 m²",,ab sofort,12205,,1 / 4,,1992,"Neubau, Gepflegt",Gas,Zentralheizung,"13,01 Euro pro Quadratmeter",,3.105 €,sofort,Balkon,Tiefgarage,Kelleranteil,"Badezimmer: Bad mit Dusche, Bad mit Fenster",Bodenbelag: Parkett,Fenster: Holz,
Wohnung zur Miete · Wohnen auf Zeit,,1.305 €/Monat,,,,,1,"20,7 m²",,13.02.2025,10317,,1 / 2,,,,,,,"1.957,50",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,5. Geschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,1.170 €/Monat,,,,,1,"20,7 m²",,13.02.2025,10317,,1 / 3,,,,,,,"1.755,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,6. Geschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,1.255 €/Monat,,,,,3,18 m²,,ab sofort,10719,,1 / 27,,,,,,,"1.000,00",,"Einbauküche, Kochnische",Frei ab sofort,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,700 €/Monat,,,,,1,11 m²,,01.05.2025,10713,,1 / 10,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.05.2025,möbliert,3. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,1.170 €/Monat,,,,,1,"20,7 m²",,13.02.2025,10317,,1 / 2,,,,,,,"1.755,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,4. Geschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,999 €/Monat,,,,,1,15 m²,,01.03.2025,10999,,1 / 8,,,,,,,keine Angabe,,"Einbauküche, Kochnische",frei ab 01.03.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,680 €/Monat,,,,,1,8 m²,,01.03.2025,10713,,1 / 11,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.03.2025,möbliert,2. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,900 €/Monat,,,,,3,"12,3 m²",,13.02.2025,10553,,1 / 6,,,,,,,"1.350,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,Erdgeschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete,,2.700 €,,,,,3,90 m²,EG,ab sofort,13353,,1 / 32,,,,,,30 Euro pro Quadratmeter,,2.700 €,Einbauküche,Frei ab sofort,Erdgeschoss,Barrierefrei,Badewanne,WG-geeignet,Bodenbelag: Holzdielen,
Wohnung zur Miete,,1.035 €,153 €,,68 €68 €,,"1,5","48,9 m²",EG,Heizungsart,10315,,1 / 8,,,,,Zentralheizung,"16,02 Euro pro Quadratmeter",keine Angabe,,0,Erdgeschoss,Bad mit Fenster,,,,,
Wohnung zur Miete · Wohnen auf Zeit,,925 €/Monat,,,,,3,"18,4 m²",,13.02.2025,10553,,1 / 6,,,,,,,"1.387,50",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,Erdgeschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,780 €/Monat,,,,,1,24 m²,,01.04.2025,10713,,1 / 11,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.04.2025,möbliert,2. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,700 €/Monat,,,,,1,8 m²,,01.05.2025,10559,,1 / 12,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.05.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,720 €/Monat,,,,,1,15 m²,,01.04.2025,12359,,1 / 11,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.04.2025,möbliert,3. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,730 €/Monat,,,,,1,12 m²,,16.03.2025,10999,,1 / 11,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 16.03.2025,möbliert,4. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,850 €/Monat,,,,,1,15 m²,,24.02.2025,10439,,1 / 11,,,,,,,,900 €,"Einbauküche, Offene Küche",frei ab 24.02.2025,möbliert,2. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,990 €/Monat,,,,,3,"22,2 m²",,13.02.2025,12159,,1 / 4,,,,,,,"1.447,50",,"Einbauküche, Offene Küche",frei ab 13.02.2025,möbliert,Bad mit Dusche,WG-geeignet,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,720 €/Monat,,,,,1,12 m²,,01.03.2025,10627,,1 / 15,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.03.2025,möbliert,4. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,680 €/Monat,,,,,1,9 m²,,01.04.2025,10999,,1 / 10,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.04.2025,möbliert,4. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,870 €/Monat,,,,,3,"15,3 m²",,13.02.2025,10553,,1 / 6,,,,,,,"1.305,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,Erdgeschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Studio zur Miete,1.080 €,1.395 €,315 €,in Nebenkosten enthalten,,,1,36 m²,3.,ab sofort,10707,,1 / 13,,1970,,Fernwärme,Zentralheizung,30 Euro pro Quadratmeter,2 Monatsmieten,,Personenaufzug,neuwertig,möbliert,3. Geschoss,Bad mit Dusche,Bodenbelag: Parkett,Fenster: Aluminium,
Wohnung zur Miete · Wohnen auf Zeit,,925 €/Monat,,,,,1,15 m²,,13.02.2025,10115,,1 / 9,,,,,,,"1.387,50",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,3. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete,,1.600 €,230 €,,79 €79 €,,2,66 m²,,ab sofort,10243,"Nettokaltmiete: 1.320,00 EUR",1 / 5,,1899,,Fernwärme,,20 Euro pro Quadratmeter,"3.960,00",,frei ab 01.05.2024 bis 31.12.9999,,,,,,,
Wohnung zur Miete · Wohnen auf Zeit,,1.350 €/Monat,,,,,1,"20,7 m²",,13.02.2025,10317,,1 / 2,,,,,,,"2.025,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,6. Geschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,1.340 €/Monat,,,,,1,"15,7 m²",,13.02.2025,10553,,1 / 6,,,,,,,"2.010,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,Erdgeschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,1.350 €/Monat,,,,,1,"20,7 m²",,13.02.2025,10317,,1 / 2,,,,,,,"2.025,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,6. Geschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,640 €/Monat,,,,,1,6 m²,,01.05.2025,10827,,1 / 10,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.05.2025,möbliert,2. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,999 €/Monat,,,,,1,25 m²,,20.04.2025,10999,,1 / 10,,,,,,,keine Angabe,,"Einbauküche, Kochnische",frei ab 20.04.2025,möbliert,4. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete,,"972,80 €",245 €,,62 €62 €,,"1,5","48,5 m²",,ab sofort,10315,,1 / 6,,1930,,Fernwärme,Zentralheizung,15 Euro pro Quadratmeter,"1.491,99",,frei ab 01.10.2024 bis 31.12.9999,Bad mit Fenster,"Bodenbelag: Fliesen, Holzdielen, Kunststoff, Linoleum",,,,,
Wohnung zur Miete · Wohnen auf Zeit,,700 €/Monat,,,,,1,8 m²,,16.04.2025,10967,,1 / 10,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 16.04.2025,möbliert,3. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,870 €/Monat,,,,,3,"12,6 m²",,13.02.2025,10553,,1 / 6,,,,,,,"1.305,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,Erdgeschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,665 €/Monat,,,,,1,9 m²,,13.02.2025,10439,,1 / 12,,,,,,,,900 €,"Einbauküche, Offene Küche",frei ab 13.02.2025,möbliert,2. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,1.225 €/Monat,,,,,1,"29,2 m²",,13.02.2025,10317,,1 / 10,,,,,,,"1.837,50",,"Einbauküche, Offene Küche",frei ab 13.02.2025,möbliert,Erdgeschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,1.270 €/Monat,,,,,1,30 m²,,13.02.2025,10249,,1 / 5,,,,,,,"1.905,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,Erdgeschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,665 €/Monat,,,,,1,8 m²,,13.02.2025,10439,,1 / 12,,,,,,,,900 €,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,2. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,1.240 €/Monat,,,,,1,"20,7 m²",,13.02.2025,10317,,1 / 3,,,,,,,"1.860,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,2. Geschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,1.990 €/Monat,,in Warmmiete enthalten,,,4,125 m²,,ab sofort,13189,,1 / 18,A,2013,,Fernwärme,,"15,92 Euro pro Quadratmeter",,2.990 €,Einbauküche,DSL-Anschluss,Personenaufzug,frei ab 04.02.2025 bis 19.08.2025,"Gartenanteil, Gartenmitbenutzung",Terrasse,Tiefgarage,möbliert
Wohnung zur Miete,,,100 €,,50 €50 €,,2,50 m²,,Baujahr,13585,,1 / 27,B,2024,Neubau,Fernwärme,Fußbodenheizung,23 Euro pro Quadratmeter,,3.450 €,,,,,,,,
Wohnung zur Miete · Wohnen auf Zeit,,859 €/Monat,,,,,3,"22,1 m²",,24.02.2025,12047,,1 / 4,,,,,,,"1.288,50",,"Einbauküche, Kochnische",frei ab 24.02.2025,möbliert,Erdgeschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,1.310 €/Monat,,,,,2,"23,5 m²",,17.02.2025,10245,,1 / 34,,,,,,,"1.000,00",,"Einbauküche, Kochnische",frei ab 17.02.2025,möbliert,3. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,999 €/Monat,,,,,1,15 m²,,03.04.2025,10437,,1 / 10,,,,,,,keine Angabe,,"Einbauküche, Kochnische",frei ab 03.04.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,1.220 €/Monat,,,,,1,"26,1 m²",,13.02.2025,10317,,1 / 16,,,,,,,"1.830,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,Erdgeschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,870 €/Monat,,,,,3,"12,3 m²",,13.02.2025,10553,,1 / 6,,,,,,,"1.305,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,Erdgeschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,760 €/Monat,,,,,1,18 m²,,01.03.2025,14199,,1 / 13,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.03.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,671 €/Monat,,,,,4,11 m²,,13.02.2025,10557,,1 / 13,,,,,,,"1.006,50",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,925 €/Monat,,,,,3,"18,4 m²",,13.02.2025,10553,,1 / 6,,,,,,,"1.387,50",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,Erdgeschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,999 €/Monat,,,,,1,25 m²,,01.03.2025,10999,,1 / 8,,,,,,,keine Angabe,,"Einbauküche, Kochnische",frei ab 01.03.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,999 €/Monat,,,,,1,15 m²,,03.04.2025,10437,,1 / 11,,,,,,,keine Angabe,,"Einbauküche, Kochnische",frei ab 03.04.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,690 €/Monat,,,,,1,12 m²,,01.03.2025,13349,,1 / 13,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.03.2025,möbliert,1. Geschoss,"Badezimmer: Badewanne, Bad mit Dusche",WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,710 €/Monat,,,,,1,11 m²,,01.04.2025,10999,,1 / 12,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.04.2025,möbliert,4. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,925 €/Monat,,,,,3,"13,5 m²",,13.02.2025,10553,,1 / 6,,,,,,,"1.387,50",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,Erdgeschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,700 €/Monat,,,,,1,11 m²,,01.05.2025,10559,,1 / 12,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.05.2025,möbliert,4. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,999 €/Monat,,,,,1,20 m²,,20.02.2025,10967,,1 / 8,,,,,,,keine Angabe,,"Einbauküche, Kochnische",frei ab 20.02.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,1.090 €/Monat,,,,,2,15 m²,,13.02.2025,10243,,1 / 5,,,,,,,"1.635,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,Erdgeschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,690 €/Monat,,,,,1,10 m²,,01.03.2025,10559,,1 / 11,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.03.2025,möbliert,4. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,840 €/Monat,,,,,3,"15,3 m²",,13.02.2025,10553,,1 / 6,,,,,,,"1.260,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,Erdgeschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,770 €/Monat,,,,,1,15 m²,,01.03.2025,10789,,1 / 7,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.03.2025,möbliert,2. Geschoss,"Badezimmer: Badewanne, Bad mit Dusche",WG-geeignet,max. 1 Person,
Wohnung zur Miete,,"977,20 €",140 €,,22 €22 €,,1,"32,2 m²",,ab sofort,10965,,1 / 4,,1900,,Gas,Zentralheizung,26 Euro pro Quadratmeter,keine Angabe,,frei ab 01.12.2024 bis 31.12.9999,Bad mit Dusche,"Bodenbelag: Laminat, Kunststoff",,,,,
Studio zur Miete,1.130 €,1.445 €,315 €,in Nebenkosten enthalten,,,1,36 m²,1.,ab sofort,10707,,1 / 13,,1900,"Altbau (bis 1945), renoviert / saniert",Fernwärme,Zentralheizung,"31,39 Euro pro Quadratmeter",2 Monatsmieten,,Personenaufzug,neuwertig,möbliert,1. Geschoss,Bad mit Dusche,Bodenbelag: Parkett,Fenster: Aluminium,
Wohnung zur Miete · Wohnen auf Zeit,,999 €/Monat,,,,,1,25 m²,,12.02.2025,10439,,1 / 12,,,,,,,keine Angabe,,"Einbauküche, Kochnische",frei ab 12.02.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,660 €/Monat,,,,,1,9 m²,,16.02.2025,12459,,1 / 10,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 16.02.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,1.170 €/Monat,,,,,1,"20,7 m²",,13.02.2025,10317,,1 / 2,,,,,,,"1.755,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,4. Geschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,1.410 €/Monat,,,,,1,"23,8 m²",,04.03.2025,10317,,1 / 16,,,,,,,"2.115,00",,"Einbauküche, Kochnische",frei ab 04.03.2025,möbliert,Erdgeschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete,,,,,325 €325 €,,"3,5",92 m²,,ab sofort,13125,,1 / 7,,1990,,,,"19,29 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Sofort,Terrasse,"Bodenbelag: Fliesen, Laminat",,,,
Wohnung zur Miete · Wohnen auf Zeit,,1.305 €/Monat,,,,,1,"20,7 m²",,13.02.2025,10317,,1 / 2,,,,,,,"1.957,50",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,5. Geschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,1.240 €/Monat,,,,,1,"25,7 m²",,13.02.2025,10317,,1 / 2,,,,,,,"1.860,00",,"Einbauküche, Kochnische",frei ab 13.02.2025,möbliert,3. Geschoss,Bad mit Dusche,max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,775 €/Monat,,,,,1,10 m²,,13.02.2025,10439,,1 / 11,,,,,,,,900 €,"Einbauküche, Offene Küche",frei ab 13.02.2025,möbliert,2. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,999 €/Monat,,,,,1,25 m²,,20.04.2025,10999,,1 / 10,,,,,,,keine Angabe,,"Einbauküche, Kochnische",frei ab 20.04.2025,möbliert,4. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,740 €/Monat,,,,,1,14 m²,,01.03.2025,10559,,1 / 14,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 01.03.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,690 €/Monat,,,,,1,8 m²,,16.02.2025,14193,,1 / 13,,,,,,,,950 €,"Einbauküche, Kochnische",frei ab 16.02.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete,,"665,20 €",130 €,,100 €100 €,,3,"68,5 m²",EG,01.03.2025,12627,"Nettokaltmiete: 435,20 EUR",1 / 6,C,1988,Gepflegt,Fernwärme,Zentralheizung,"6,36 Euro pro Quadratmeter",3 mal Netto Miete (kalt),,frei ab 01.03.2025,Balkon,Erdgeschoss,Badewanne,,,,
